chapter,question_id,question,A,B,C,answer
1,1,"Según el capítulo, ¿qué describe mejor a la Biblia y cuántos libros contiene en el Antiguo y Nuevo Testamento?",Es una biblioteca de libros: 39 en el Antiguo Testamento y 27 en el Nuevo Testamento.,Es un solo libro escrito por un único autor: 27 en el Antiguo Testamento y 39 en el Nuevo Testamento.,Es una colección de tradiciones orales sin libros definidos: 50 en el Antiguo Testamento y 16 en el Nuevo Testamento.,A
1,2,¿Cuál de las siguientes opciones refleja la variedad de material literario que el capítulo menciona que aparece en la Biblia?,Solo mitos y fábulas modernas escritas en lenguaje científico.,"Narraciones, leyes, instrucciones para rituales, poesías/cantos, sermones, profecías, dichos sapienciales, parábolas, cartas y genealogías.","Únicamente poemas y canciones, sin relatos históricos ni cartas.",B
1,3,¿Cuál opción resume correctamente el marco temporal y el proceso de compilación descritos en el capítulo?,Escrita completa en una sola generación durante el siglo I d. C.,"Desde el siglo V a. C. hasta el siglo V d. C., compilada en unos 200 años.","Desde la época de Moisés (siglo XV a. C.) hasta fines del siglo I d. C., compilada a lo largo de aproximadamente 1.600 años.",C
1,4,"Según el capítulo, ¿qué se destaca como sorprendente respecto de los libros bíblicos, pese a su diversidad de autores y épocas?",Que no guardan relación entre sí y se contradicen deliberadamente.,Que fueron escritos necesariamente en el mismo orden en que aparecen hoy.,Que desarrollan temas comunes con una unidad total a lo largo del tiempo.,C
1,5,"Al revisar de manera general la Biblia, ¿qué se observa como el hilo conductor que la unifica en su totalidad?",El desarrollo gradual del plan o propósito de Dios para anular los efectos del pecado humano y establecer una nueva creación.,Un registro político que explica solamente el origen de Israel como nación.,"Una colección de enseñanzas morales desconectadas entre sí, sin un propósito global.",A
1,6,"Según el capítulo, otra forma de describir el proceso del plan de salvación es hablar de:",La sustitución completa del Antiguo Testamento por libros modernos.,El establecimiento del “reino de Dios”.,La eliminación de toda cultura y literatura antigua.,B
1,7,¿Con qué se dice que el plan de salvación llega a su culminación y cumplimiento?,Con el cautiverio babilónico.,Con el ministerio de Jesucristo.,Con el reinado de Salomón.,B
1,8,"En el “gráfico simple” del mensaje bíblico, ¿cuál es el orden que mejor representa las etapas presentadas?",Caída → Creación → Reino de Dios → Nueva creación → Difusión del evangelio → Salvación.,Reino de Dios → Nueva creación → Caída → Creación → Salvación → Difusión.,Creación → Caída → Salvación en la historia → Difusión del evangelio → Reino de Dios → Nueva creación.,C
1,9,"Según la unidad, ¿cuál es la división más evidente dentro de la Biblia que el curso busca explorar en su relación?",Entre el libro de Génesis y el libro de Apocalipsis solamente.,Entre el Antiguo Testamento y el Nuevo Testamento.,Entre los libros poéticos y los libros históricos únicamente.,B
1,10,"Según el capítulo, el orden de libros del Antiguo Testamento en muchas Biblias (Génesis a Ester; Job a Cantar; Isaías a Malaquías) sigue:",El orden original hebreo sin ninguna variante.,Un orden moderno definido por editores del siglo XX.,El orden de la traducción griega llamada Septuaginta.,C
1,11,¿Qué afirma el capítulo sobre la Septuaginta?,"Es una traducción griega del Antiguo Testamento hecha a partir del hebreo, iniciada en el siglo III a. C.",Es una traducción latina del Nuevo Testamento escrita en el siglo I d. C.,Es un comentario rabínico medieval que reemplaza el texto bíblico.,A
1,12,"Según el capítulo, el orden hebreo del Antiguo Testamento es útil porque:",Elimina la necesidad de leer los profetas y los escritos.,Muestra el significado de las diferentes partes y cómo se relacionan entre sí.,Evita toda referencia histórica y se enfoca solo en poesía.,B
1,13,¿Cuáles son las tres partes principales del Antiguo Testamento en el orden hebreo que presenta el capítulo?,"La tradición oral, los concilios y los credos.","Los Evangelios, Hechos y Apocalipsis.","La Ley, los Profetas y los Escritos.",C
